repository,release_tag,working_days_since_previous_release
seed-design,@seed-design/react-avatar@0.0.4,2
seed-design,@seed-design/css@0.0.29,1
seed-design,@seed-design/react-checkbox@0.0.4,1
seed-design,@seed-design/react@0.0.29,1
seed-design,@seed-design/react-dialog@0.0.5,1
seed-design,@seed-design/react-segmented-control@0.0.5,1
seed-design,@seed-design/react-primitive@0.0.3,1
seed-design,@seed-design/react-popover@0.0.7,1
seed-design,@seed-design/react-snackbar@0.0.5,1
seed-design,@seed-design/mcp@0.0.29,1
seed-design,@seed-design/react-progress@0.0.4,1
seed-design,@seed-design/figma@0.0.29,1
seed-design,@seed-design/stackflow@0.0.29,1
seed-design,@seed-design/react-switch@0.0.4,1
seed-design,@seed-design/react-toggle@0.0.4,1
seed-design,@seed-design/react-pull-to-refresh@0.0.5,1
seed-design,@seed-design/react-text-field@0.0.4,1
seed-design,@seed-design/react-tabs@0.0.6,1
seed-design,@seed-design/vite-plugin@0.0.29,1
seed-design,@seed-design/react-radio-group@0.0.4,1
seed-design,@seed-design/rsbuild-plugin@0.0.29,1
seed-design,@seed-design/webpack-plugin@0.0.29,1
seed-design,@seed-design/mcp@0.0.30,2
seed-design,@seed-design/rsbuild-plugin@0.0.30,1
seed-design,@seed-design/stackflow@0.0.30,1
seed-design,@seed-design/webpack-plugin@0.0.30,1
seed-design,@seed-design/figma@0.0.30,1
seed-design,@seed-design/react-pull-to-refresh@0.0.6,1
seed-design,@seed-design/react@0.0.30,1
seed-design,@seed-design/css@0.0.30,1
seed-design,@seed-design/react-tabs@0.0.7,1
seed-design,@seed-design/vite-plugin@0.0.30,1
